Iteration,Features,NumberFeaturesAccuracy
1,[9],1,0.82
2,"[9, 12]",2,0.956
3,"[9, 12, 1]",3,0.936
4,"[9, 12, 1, 15]",4,0.91
5,"[9, 12, 1, 15, 4]",5,0.874
6,"[9, 12, 1, 15, 4, 16]",6,0.868
7,"[9, 12, 1, 15, 4, 16, 7]",7,0.856
8,"[9, 12, 1, 15, 4, 16, 7, 14]",8,0.852
9,"[9, 12, 1, 15, 4, 16, 7, 14, 13]",9,0.836
10,"[9, 12, 1, 15, 4, 16, 7, 14, 13, 10]",10,0.838
11,"[9, 12, 1, 15, 4, 16, 7, 14, 13, 10, 5]",11,0.822
12,"[9, 12, 1, 15, 4, 16, 7, 14, 13, 10, 5, 8]",12,0.814
13,"[9, 12, 1, 15, 4, 16, 7, 14, 13, 10, 5, 8, 2]",13,0.806
14,"[9, 12, 1, 15, 4, 16, 7, 14, 13, 10, 5, 8, 2, 3]",14,0.786
15,"[9, 12, 1, 15, 4, 16, 7, 14, 13, 10, 5, 8, 2, 3, 11]",15,0.78
16,"[9, 12, 1, 15, 4, 16, 7, 14, 13, 10, 5, 8, 2, 3, 11, 6]",16,0.746
